Número de artículo,Identificador del producto,Nombre,Nombre de visualización del código de barras,Variación,Cantidad Unidad Cantidad,Categoría,ID del proveedor,Permitir anulación de precio independientemente de los permisos,Deshabilitar reglas de precios,Solo permite que los artículos se vendan en números enteros,Vendido en una serie,Cantidad de la serie,Número de días que la serie debe usarse dentro de,¿Está el código de barras,Inactivo,Cantidad predeterminada al vender o recibir,Costo,Precio de venta,Precio promocional,Fecha de inicio de la promoción,Fecha de finalización de la promoción,"El precio incluye impuesto,",Es un servicio,Es favorito,Cantidad,Mínimo de productos,Nivel de Reposición,Descripción,descripción larga,Ventana emergente de información al agregar a la venta,Peso,Unidad de peso,Longitud,Ancho,Altura,Permitir descripción alterna,El artículo cuenta con un número de serie,Comisión,¿Porciento de comisión basado en ganancia?,Grupo de impuestos,Etiquetas,Días de vencimiento,Precio modificable mientras se realiza la venta,Fabricante,Ubicación en tienda,Artículo es de comercio electrónico,Id del artículo
104000,VPVE1/32,VINILO PROQUIMITEC VERDE  1/32,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,752.0,1500,,,,y,,n,106.0,20.0,2000.0,,,,,,,,,,,,,,PINTURA VINILO,,,,ESTANTE: 1 - PISO: 1,y,3988
103999,VPRJ1/32,VINILO PROQUIMITEC ROJO 1/32,,,,PINTURAS,,,,,,,,y,,,1125.0,1500,,,,y,,n,-20.0,20.0,2000.0,,,,,,,,,,,,,,PINTURA VINILO,,,,ESTANTE: 1 - PISO: 1,y,3987
103998,9917,VINILO PROQUIMITEC NEGRO 1/32,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,752.0,1500,,,,y,,n,137.0,20.0,2000.0,,,,,,,,,,,,,,PINTURA VINILO,,,,ESTANTE: 1 - PISO: 1,y,3986
103997,32180,_VINILO PROQUIMITEC NARANJA FUERTE 1/32,,,,PINTURAS,,,,,,,,y,y,,1125.0,1500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3985
103996,32177,_VINILO PROQUIMITEC MAGENTA 1/32,,,,PINTURAS,,,,,,,,y,y,,1125.0,1500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3984
103995,VPBL1/32,VINILO PROQUIMITEC BLANCO 1/32,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,752.0,1500,,,,y,,n,72.0,20.0,2000.0,,,,,,,,,,,,,,PINTURA VINILO,,,,ESTANTE: 1 - PISO: 1,y,3983
103994,VPAZ1/32,VINILO PROQUIMITEC AZUL 1/32,,,,PINTURAS,,,,,,,,y,,,1125.0,1500,,,,y,,n,-19.0,20.0,2000.0,,,,,,,,,,,,,,PINTURA VINILO,,,,ESTANTE: 1 - PISO: 1,y,3982
103993,VPAM1/32,VINILO PROQUIMITEC AMARILLO 1/32,,,,PINTURAS,INDUSTRIAS  PROQUIMITEC,,,,,,,y,,,752.0,1500,,,,y,,n,98.0,20.0,2000.0,,,,,,,,,,,,,,PINTURA VINILO,,,,ESTANTE: 1 - PISO: 1,y,3981
103992,185,VIDRIO CARETA SOLDAR NEGRO # 9-11,,,,HERRAMIENTAS-ACCESORIOS,DISTRIBUCIONES HOYOSTOOLS S.A.,,,,,,,y,,,488.0,900,,,,y,,n,138.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 40 - PISO: 3,y,3980
103991,2036,VIDRIO CARETA SOLDAR NEGRO # 12,,,,HERRAMIENTAS-ACCESORIOS,DISTRIBUCIONES HOYOSTOOLS S.A.,,,,,,,y,,,488.0,700,,,,y,,n,152.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 40 - PISO: 3,y,3979
103990,1827,VIDRIO CARETA SOLDAR NEGRO # 10,,,,HERRAMIENTAS-ACCESORIOS,OMAR  ARISTIZABAL,,,,,,,y,,,600.0,900,,,,y,,n,132.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 40 PISO: 3,y,3978
103989,VD18,"VENTILADOR DAVANI 18""",,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,,,67200.0,89600,,,,,,n,1.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 38 - PISO: 3,y,3977
103988,,_VASO MUGS - Ref : VMS,,,,HOGAR-CONSTRUCCION,,,,,,,,y,y,,1800.0,2400,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3976
103987,,_VASO LICUADORA SAMURAY - Ref : 9912,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,2888.0,3850,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3975
103986,,_VASO FILO COLOR - Ref : VFC,,,,HOGAR-CONSTRUCCION,,,,,,,,y,y,,1988.0,2650,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3974
103985,,_VASO ESMALTADO PEQUEÑO - Ref : VEP,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,975.0,1300,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3973
103984,,_VASO CAPUCHINO - Ref : VCA,,,,HERRAMIENTAS-ACCESORIOS,,,,,,,,y,y,,2213.0,2950,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3972
103983,VS1,_VASIJA MELENINA,,,,HOGAR-CONSTRUCCION,,,,,,,,y,y,,5325.0,7100,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 0 - PISO: 0,y,3971
103982,52580,"VARILLA ROSCADA DE 3/8""",,,,HOGAR-CONSTRUCCION,DISTRIBUCIONES FERROELECTRICAS DE OCCIDENTE SAS,,,,,,,y,,,3279.0,4100,,,,y,,n,490.0,20.0,2000.0,,,,,,,,,,,,,,VARILLA,,,,ESTANTE: 7 - PISO: 1,y,3970
103981,V5/8,_VARILLA ROSCADA 5/8,,,,CERRADURAS,,,,,,,,y,y,,6375.0,8500,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 7 - PISO: 1,y,3969
103980,52581,VARILLA ROSCADA 5/16 X 1 MT,,,,HOGAR-CONSTRUCCION,DISTRIBUCIONES FERROELECTRICAS DE OCCIDENTE SAS,,,,,,,y,,,2162.0,2850,,,,y,,n,127.0,20.0,2000.0,,,,,,,,,,,,,,VARILLA,,,,ESTANTE: 7 - PISO: 1,y,3968
103979,52582,VARILLA ROSCADA 1/4,,,,HOGAR-CONSTRUCCION,SUMATEC SAS,,,,,,,y,,,1666.0,2000,,,,y,,n,272.0,20.0,2000.0,,,,,,,,,,,,,,VARILLA,,,,ESTANTE: 7 - PISO: 1,y,3967
103978,VR12,VARILLA ROSCADA DE 1/2,,,,HOGAR-CONSTRUCCION,SUMATEC SAS,,,,,,,y,,,6426.0,7800,,,,y,,n,130.0,20.0,2000.0,,,,,,,,,,,,,,VARILLA,,,,ESTANTE: 7 - PISO: 1,y,3966
103977,2411,VARILLA LATONADA 25 CM TANQUE ALTO,,,,HOGAR-CONSTRUCCION,DISTRIBUCIONES HOYOSTOOLS S.A.,,,,,,,y,,,1457.0,1900,,,,y,,n,207.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 19 - PISO: 2,y,3965
103976,1826,VARILLA FLOTADORA PLASTICA  23CN G/P,,,,GRIFERIAS-ACCESORIOS,,,,,,,,y,,,600.0,800,,,,,,n,82.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 18 - PISO: 2,y,3964
103975,3510,VARILLA FLOTADOR PLASTICA 17CM G/P,,,,GRIFERIAS-ACCESORIOS,,,,,,,,y,,,600.0,800,,,,,,n,118.0,20.0,2000.0,,,,,,,,,,,,,,,,,,ESTANTE: 18 - PISO: 2,y,3963
103974,,_VARILLA COPER WEL 180 - Ref : 9911,,,,HOGAR-CONSTRUCCION,,,,,,,,y,y,,13950.0,18600,,,,,,n,0.0,,,INACTIVO,,,,,,,,,,,,,,,,,ESTANTE: 7 - PISO: 1,y,3962
103973,9910,VARILLA COPER WEL 150,,,,HOGAR-CONSTRUCCION,COMERCIALIZADORA E IMPORTADORA EL CARPINTERO S.A.S,,,,,,,y,,,24298.0,25000,,,,y,,n,58.0,20.0,2000.0,,,,,,,,,,,,,,VARILLA,,,,ESTANTE: 7 - PISO: 1,y,3961
